data_source,nid,file_path,Country,type_of_additional,Group,Site,Year,Prev,N
report,355458,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2006\GHA_HSS_2006_REP_Y2017M12D21.PDF,GHA,4,Rural,East Gonja (%),2006,0.8,497
report,355458,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2006\GHA_HSS_2006_REP_Y2017M12D21.PDF,GHA,5,Rural,Eikwe (%),2006,5.6,500
report,355458,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2006\GHA_HSS_2006_REP_Y2017M12D21.PDF,GHA,4,Rural,Fanteakwa (%),2006,5.1,415
report,355458,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2006\GHA_HSS_2006_REP_Y2017M12D21.PDF,GHA,4,Rural,Kintampo (%),2006,3.5,403
report,355458,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2006\GHA_HSS_2006_REP_Y2017M12D21.PDF,GHA,4,Rural,Krachi (%),2006,1.8,402
report,355458,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2006\GHA_HSS_2006_REP_Y2017M12D21.PDF,GHA,2,Rural,Nadowli (%),2006,0.7,402
report,355458,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2006\GHA_HSS_2006_REP_Y2017M12D21.PDF,GHA,5,Rural,North Tongu (%),2006,0,341
report,355473,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2005\GHA_HSS_2005_REP_Y2017M12D21.PDF,GHA,1,Rural,Akim Oda,2005,3.4,320
report,355473,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2005\GHA_HSS_2005_REP_Y2017M12D21.PDF,GHA,3,Rural,Amansie West (%),2005,3,471
report,355473,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2005\GHA_HSS_2005_REP_Y2017M12D21.PDF,GHA,3,Urban,Koforidua (%),2005,6.4,498
report,355473,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2005\GHA_HSS_2005_REP_Y2017M12D21.PDF,GHA,5,Rural,Krachi (%),2005,2.7,449
report,355473,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2005\GHA_HSS_2005_REP_Y2017M12D21.PDF,GHA,1,,Salaga,2005,1.8,383
report,355473,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2005\GHA_HSS_2005_REP_Y2017M12D21.PDF,GHA,5,Urban,Takoradi (%),2005,2.4,500
report,355473,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2005\GHA_HSS_2005_REP_Y2017M12D21.PDF,GHA,1,,Tarkwa,2005,1.9,473
report,355475,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2003\GHA_HSS_2003_REP_Y2017M12D21.PDF,GHA,2,Rural,Asunafo (%),2003,3.6,305
report,355475,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2003\GHA_HSS_2003_REP_Y2017M12D21.PDF,GHA,3,Urban,Jirapa (%),2003,1.8,498
report,355475,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2003\GHA_HSS_2003_REP_Y2017M12D21.PDF,GHA,3,Urban,Koforidua (%),2003,2.6,496
report,355475,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2003\GHA_HSS_2003_REP_Y2017M12D21.PDF,GHA,3,Urban,Navrongo (%),2003,4.4,499
report,355494,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2001\GHA_HSS_2001_REP_Y2017M12D21.PDF,GHA,1,,Amasaman,2001,2.9,204
report,355494,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2001\GHA_HSS_2001_REP_Y2017M12D21.PDF,GHA,3,Urban,Jirapa (%),2001,1.7,363
report,355494,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2001\GHA_HSS_2001_REP_Y2017M12D21.PDF,GHA,3,Urban,Koforidua (%),2001,6.4,467
report,355494,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2001\GHA_HSS_2001_REP_Y2017M12D21.PDF,GHA,3,Urban,Navrongo (%),2001,2.4,381
report,355496,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2000\GHA_HSS_2000_REP_Y2017M12D21.PDF,GHA,1,,Amasaman,2000,2.2,231
report,355496,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2000\GHA_HSS_2000_REP_Y2017M12D21.PDF,GHA,3,Urban,Bolgatanga (%),2000,1,501
report,355496,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2000\GHA_HSS_2000_REP_Y2017M12D21.PDF,GHA,3,Urban,Jirapa (%),2000,1.5,405
report,355496,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\2000\GHA_HSS_2000_REP_Y2017M12D21.PDF,GHA,3,Urban,Koforidua (%),2000,2.8,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,4,Urban,Adabraka (%),1997,2.2,231
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Adabraka (%),1998,3.4,385
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Agormanya (%),1997,13.4,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Agormanya (%),1998,13.2,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Assin Fosu (%),1997,1.2,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Assin Fosu (%),1998,3.6,50
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Bawku (%),1997,1.6,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Bawku (%),1998,1.8,497
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Bolgatanga (%),1997,2.8,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Bolgatanga (%),1998,3,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Cape Coast (%),1997,0.8,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Cape Coast (%),1998,3.4,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Rural,Eikwe (%),1997,5.8,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Rural,Eikwe (%),1998,5.8,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Ho  (%),1997,3.8,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Ho  (%),1998,4,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Hohoe (%),1997,4.2,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,34,Urban,Hohoe (%),1998,4.2,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Jirapa (%),1997,1.4,220
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Koforidua (%),1997,4.2,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Koforidua (%),1998,2.4,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,KorleBu (%),1997,2,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,KorleBu (%),1998,2.2,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Kumasi (%),1997,5.5,236
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Kumasi (%),1998,6.8,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Mampong (%),1997,5.2,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Mampong (%),1998,5,219
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Nalerigu (%),1997,0.2,498
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Sunyani (%),1997,2,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Sunyani (%),1998,3.4,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Takoradi (%),1997,3.8,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Takoradi (%),1998,3,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Tamale (%),1997,1,502
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Wa (%),1997,1.6,310
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Wa (%),1998,2.3,517
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Wenchi (%),1997,2.4,500
report,355498,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1997\GHA_HSS_1997_REP_Y2017M12D21.PDF,GHA,3,Urban,Wenchi (%),1998,2,500
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Adabraka (%),1996,2.2,185
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Agormanya (%),1996,12.8,500
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Assin Fosu (%),1996,1.6,500
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,2,Urban,Bawku (%),1996,1.2,412
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Bolgatanga (%),1996,1,500
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Cape Coast (%),1996,2.6,500
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Rural,Eikwe (%),1996,5.7,384
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Ho  (%),1996,2.8,500
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Hohoe (%),1996,2.1,335
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Jirapa (%),1996,3,230
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Koforidua (%),1996,2.6,500
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Kumasi (%),1996,3.8,500
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Mampong (%),1996,2,500
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Nalerigu (%),1996,0.4,500
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Sunyani (%),1996,2.2,500
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Takoradi (%),1996,4.2,499
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Tamale (%),1996,1.6,500
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Wa (%),1996,1.8,500
report,355500,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1996\GHA_HSS_1996_REP_Y2017M12D21.PDF,GHA,3,Urban,Wenchi (%),1996,2.6,500
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Adabraka (%),1995,1.3,386
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Agormanya (%),1995,10.5,353
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Assin Fosu (%),1995,1.2,500
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Bawku (%),1995,2.4,500
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,1,,Bole,1995,2.7,151
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Bolgatanga (%),1995,1.6,500
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Cape Coast (%),1995,2.4,500
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,1,,Hamile,1995,4.2,118
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Ho  (%),1995,2.4,496
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Hohoe (%),1995,3.2,500
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Jirapa (%),1995,0.3,350
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Koforidua (%),1995,3.8,500
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Kumasi (%),1995,3.2,500
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Mampong (%),1995,3.6,500
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Nalerigu (%),1995,1,500
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,1,,Nandom,1995,2.9,277
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Tamale (%),1995,1,500
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Wa (%),1995,0.8,493
report,355503,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1995\GHA_HSS_1995_REP_Y2017M12D21.PDF,GHA,3,Urban,Wenchi (%),1995,3.2,500
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,2,Urban,Adabraka (%),1990,0.7,300
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,2,Urban,Adabraka (%),1992,1.2,300
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,2,Urban,Agormanya (%),1992,18,412
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Agormanya (%),1994,9.4,500
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Assin Fosu (%),1994,2.5,605
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Bawku (%),1994,2.4,168
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,1,,Bole,1994,3.8,265
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Bolgatanga (%),1994,2,500
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Cape Coast (%),1994,3.5,489
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Rural,Eikwe (%),1994,3,497
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,1,,Hamile,1994,4.3,139
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Ho  (%),1994,2.4,495
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Hohoe (%),1994,2.3,480
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,2,Urban,Jirapa (%),1992,0.4,515
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Jirapa (%),1994,2.5,322
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,2,Urban,Koforidua (%),1992,3.2,500
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Koforidua (%),1994,2.4,500
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,2,Urban,Kumasi (%),1992,4.6,455
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Kumasi (%),1994,2.4,503
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Mampong (%),1994,2,495
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Nalerigu (%),1994,1,499
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,1,,Nandom,1994,2,255
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,2,Urban,Sunyani (%),1991,2.8,254
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Sunyani (%),1994,3,527
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Takoradi (%),1994,1.8,500
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Tamale (%),1994,1,500
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,2,Urban,Wa (%),1992,1.8,505
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,3,Urban,Wa (%),1994,3,500
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,2,Urban,Wenchi (%),1991,1.5,197
report,355513,J:\DATA\GHA\HIV_SENTINEL_SURVEY_HSS\1994\GHA_HSS_1994_REP_Y2017M12D21.PDF,GHA,2,Urban,Wenchi (%),1992,4,500
report,355573,J:\DATA\GHA\HIV_AIDS_IN_GHANA_REPORT\GHA_HIV_AIDS_IN_GHANA_2001_Y2017M12D21.PDF,GHA,2,Urban,Sunyani (%),1992,4,400
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Western,Busia,1995,22,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Western,Busia,1996,28,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Western,Kakamega,1995,12,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Western,Kakamega,1996,10,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Eastern,Karurumo ,1994,2,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Nyanza,Kisii,1992,0,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Nyanza,Kisii,1995,25,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Nyanza,Kisii,1996,27,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Nyanza,Kisumu,1995,10,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Nyanza,Kisumu,1996,12,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Rift Valley,Kitale,1995,4,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Rift Valley,Kitale,1996,4,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Eastern,Kitui,1995,9,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Eastern,Kitui,1996,16,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Eastern,Meru,1995,16,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Eastern,Meru,1996,12,300
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,5,Eastern,Meru,2000,35,404
report,355597,J:\DATA\KEN\AIDS_IN_KENYA_REPORT\KEN_AIDS_IN_KENYA_2001_Y2017M12D21.PDF,KEN,2,Rift Valley,Nakuru,1995,27,300
